time,zone,pressure
1.2400000000000009,ESC_MAT,15.0
1.2400000000000009,ESC_PER,10.0
1.2500000000000009,EXTERIOR,0.0
1.2500000000000009,GRANULACION_II,30.0
1.2500000000000009,ESC_MAT,15.0
1.2500000000000009,ESC_PER,10.0
1.260000000000001,EXTERIOR,0.0
1.260000000000001,GRANULACION_II,30.0
1.260000000000001,ESC_MAT,15.0
1.260000000000001,ESC_PER,10.0
1.270000000000001,EXTERIOR,0.0
1.270000000000001,GRANULACION_II,30.0
1.270000000000001,ESC_MAT,15.0
1.270000000000001,ESC_PER,10.0
1.280000000000001,EXTERIOR,0.0
1.280000000000001,GRANULACION_II,30.0
1.280000000000001,ESC_MAT,15.0
1.280000000000001,ESC_PER,10.0
1.290000000000001,EXTERIOR,0.0
1.290000000000001,GRANULACION_II,30.0
1.290000000000001,ESC_MAT,15.0
1.290000000000001,ESC_PER,10.0
1.300000000000001,EXTERIOR,0.0
1.300000000000001,GRANULACION_II,30.0
1.300000000000001,ESC_MAT,15.0
1.300000000000001,ESC_PER,10.0
1.310000000000001,EXTERIOR,0.0
1.310000000000001,GRANULACION_II,30.0
1.310000000000001,ESC_MAT,15.0
1.310000000000001,ESC_PER,10.0
1.320000000000001,EXTERIOR,0.0
1.320000000000001,GRANULACION_II,30.0
1.320000000000001,ESC_MAT,15.0
1.320000000000001,ESC_PER,10.0
1.330000000000001,EXTERIOR,0.0
1.330000000000001,GRANULACION_II,30.0
1.330000000000001,ESC_MAT,15.0
1.330000000000001,ESC_PER,10.0
1.340000000000001,EXTERIOR,0.0
1.340000000000001,GRANULACION_II,30.0
1.340000000000001,ESC_MAT,15.0
1.340000000000001,ESC_PER,10.0
1.350000000000001,EXTERIOR,0.0
1.350000000000001,GRANULACION_II,30.0
1.350000000000001,ESC_MAT,15.0
1.350000000000001,ESC_PER,10.0
1.360000000000001,EXTERIOR,0.0
1.360000000000001,GRANULACION_II,30.0
1.360000000000001,ESC_MAT,15.0
1.360000000000001,ESC_PER,10.0
1.370000000000001,EXTERIOR,0.0
1.370000000000001,GRANULACION_II,30.0
1.370000000000001,ESC_MAT,15.0
1.370000000000001,ESC_PER,10.0
1.380000000000001,EXTERIOR,0.0
1.380000000000001,GRANULACION_II,30.0
1.380000000000001,ESC_MAT,15.0
1.380000000000001,ESC_PER,10.0
1.390000000000001,EXTERIOR,0.0
1.390000000000001,GRANULACION_II,30.0
1.390000000000001,ESC_MAT,15.0
1.390000000000001,ESC_PER,10.0
1.400000000000001,EXTERIOR,0.0
1.400000000000001,GRANULACION_II,30.0
1.400000000000001,ESC_MAT,15.0
1.400000000000001,ESC_PER,10.0
1.410000000000001,EXTERIOR,0.0
1.410000000000001,GRANULACION_II,30.0
1.410000000000001,ESC_MAT,15.0
1.410000000000001,ESC_PER,10.0
1.420000000000001,EXTERIOR,0.0
1.420000000000001,GRANULACION_II,30.0
1.420000000000001,ESC_MAT,15.0
1.420000000000001,ESC_PER,10.0
1.430000000000001,EXTERIOR,0.0
1.430000000000001,GRANULACION_II,30.0
1.430000000000001,ESC_MAT,15.0
1.430000000000001,ESC_PER,10.0
1.440000000000001,EXTERIOR,0.0
1.440000000000001,GRANULACION_II,30.0
1.440000000000001,ESC_MAT,15.0
1.440000000000001,ESC_PER,10.0
1.450000000000001,EXTERIOR,0.0
1.450000000000001,GRANULACION_II,30.0
1.450000000000001,ESC_MAT,15.0
1.450000000000001,ESC_PER,10.0
1.460000000000001,EXTERIOR,0.0
1.460000000000001,GRANULACION_II,30.0
1.460000000000001,ESC_MAT,15.0
1.460000000000001,ESC_PER,10.0
1.470000000000001,EXTERIOR,0.0
1.470000000000001,GRANULACION_II,30.0
1.470000000000001,ESC_MAT,15.0
1.470000000000001,ESC_PER,10.0
1.480000000000001,EXTERIOR,0.0
1.480000000000001,GRANULACION_II,30.0
1.480000000000001,ESC_MAT,15.0
1.480000000000001,ESC_PER,10.0
1.490000000000001,EXTERIOR,0.0
1.490000000000001,GRANULACION_II,30.0
1.490000000000001,ESC_MAT,15.0
1.490000000000001,ESC_PER,10.0
1.500000000000001,EXTERIOR,0.0
1.500000000000001,GRANULACION_II,30.0
1.500000000000001,ESC_MAT,15.0
1.500000000000001,ESC_PER,10.0
1.5100000000000011,EXTERIOR,0.0
1.5100000000000011,GRANULACION_II,30.0
1.5100000000000011,ESC_MAT,15.0
1.5100000000000011,ESC_PER,10.0
1.5200000000000011,EXTERIOR,0.0
1.5200000000000011,GRANULACION_II,30.0
1.5200000000000011,ESC_MAT,15.0
1.5200000000000011,ESC_PER,10.0
1.5300000000000011,EXTERIOR,0.0
1.5300000000000011,GRANULACION_II,30.0
1.5300000000000011,ESC_MAT,15.0
1.5300000000000011,ESC_PER,10.0
1.5400000000000011,EXTERIOR,0.0
1.5400000000000011,GRANULACION_II,30.0
1.5400000000000011,ESC_MAT,15.0
1.5400000000000011,ESC_PER,10.0
1.5500000000000012,EXTERIOR,0.0
1.5500000000000012,GRANULACION_II,30.0
1.5500000000000012,ESC_MAT,15.0
1.5500000000000012,ESC_PER,10.0
1.5600000000000012,EXTERIOR,0.0
1.5600000000000012,GRANULACION_II,30.0
1.5600000000000012,ESC_MAT,15.0
1.5600000000000012,ESC_PER,10.0
1.5700000000000012,EXTERIOR,0.0
1.5700000000000012,GRANULACION_II,30.0
1.5700000000000012,ESC_MAT,15.0
1.5700000000000012,ESC_PER,10.0
1.5800000000000012,EXTERIOR,0.0
1.5800000000000012,GRANULACION_II,30.0
1.5800000000000012,ESC_MAT,15.0
1.5800000000000012,ESC_PER,10.0
1.5900000000000012,EXTERIOR,0.0
1.5900000000000012,GRANULACION_II,30.0
1.5900000000000012,ESC_MAT,15.0
1.5900000000000012,ESC_PER,10.0
1.6000000000000012,EXTERIOR,0.0
1.6000000000000012,GRANULACION_II,30.0
1.6000000000000012,ESC_MAT,15.0
1.6000000000000012,ESC_PER,10.0
1.6100000000000012,EXTERIOR,0.0
1.6100000000000012,GRANULACION_II,30.0
1.6100000000000012,ESC_MAT,15.0
1.6100000000000012,ESC_PER,10.0
1.6200000000000012,EXTERIOR,0.0
1.6200000000000012,GRANULACION_II,30.0
1.6200000000000012,ESC_MAT,15.0
1.6200000000000012,ESC_PER,10.0
1.6300000000000012,EXTERIOR,0.0
1.6300000000000012,GRANULACION_II,30.0
1.6300000000000012,ESC_MAT,15.0
1.6300000000000012,ESC_PER,10.0
1.6400000000000012,EXTERIOR,0.0
1.6400000000000012,GRANULACION_II,30.0
1.6400000000000012,ESC_MAT,15.0
1.6400000000000012,ESC_PER,10.0
1.6500000000000012,EXTERIOR,0.0
1.6500000000000012,GRANULACION_II,30.0
1.6500000000000012,ESC_MAT,15.0
1.6500000000000012,ESC_PER,10.0
1.6600000000000013,EXTERIOR,0.0
1.6600000000000013,GRANULACION_II,30.0
1.6600000000000013,ESC_MAT,15.0
1.6600000000000013,ESC_PER,10.0
1.6700000000000013,EXTERIOR,0.0
1.6700000000000013,GRANULACION_II,30.0
1.6700000000000013,ESC_MAT,15.0
1.6700000000000013,ESC_PER,10.0
1.6800000000000013,EXTERIOR,0.0
1.6800000000000013,GRANULACION_II,30.0
1.6800000000000013,ESC_MAT,15.0
1.6800000000000013,ESC_PER,10.0
1.6900000000000013,EXTERIOR,0.0
1.6900000000000013,GRANULACION_II,30.0
1.6900000000000013,ESC_MAT,15.0
1.6900000000000013,ESC_PER,10.0
