time,link,area,delta_p
1.1600000000000008,L1,0.015,15.0
1.1600000000000008,L2,0.015,20.0
1.1600000000000008,L3,0.003,15.0
1.1600000000000008,L4,0.003,10.0
1.1700000000000008,L1,0.015,15.0
1.1700000000000008,L2,0.015,20.0
1.1700000000000008,L3,0.003,15.0
1.1700000000000008,L4,0.003,10.0
1.1800000000000008,L1,0.015,15.0
1.1800000000000008,L2,0.015,20.0
1.1800000000000008,L3,0.003,15.0
1.1800000000000008,L4,0.003,10.0
1.1900000000000008,L1,0.015,15.0
1.1900000000000008,L2,0.015,20.0
1.1900000000000008,L3,0.003,15.0
1.1900000000000008,L4,0.003,10.0
1.2000000000000008,L1,0.015,15.0
1.2000000000000008,L2,0.015,20.0
1.2000000000000008,L3,0.003,15.0
1.2000000000000008,L4,0.003,10.0
1.2100000000000009,L1,0.015,15.0
1.2100000000000009,L2,0.015,20.0
1.2100000000000009,L3,0.003,15.0
1.2100000000000009,L4,0.003,10.0
1.2200000000000009,L1,0.015,15.0
1.2200000000000009,L2,0.015,20.0
1.2200000000000009,L3,0.003,15.0
1.2200000000000009,L4,0.003,10.0
1.2300000000000009,L1,0.015,15.0
1.2300000000000009,L2,0.015,20.0
1.2300000000000009,L3,0.003,15.0
1.2300000000000009,L4,0.003,10.0
1.2400000000000009,L1,0.015,15.0
1.2400000000000009,L2,0.015,20.0
1.2400000000000009,L3,0.003,15.0
1.2400000000000009,L4,0.003,10.0
1.2500000000000009,L1,0.015,15.0
1.2500000000000009,L2,0.015,20.0
1.2500000000000009,L3,0.003,15.0
1.2500000000000009,L4,0.003,10.0
1.260000000000001,L1,0.015,15.0
1.260000000000001,L2,0.015,20.0
1.260000000000001,L3,0.003,15.0
1.260000000000001,L4,0.003,10.0
1.270000000000001,L1,0.015,15.0
1.270000000000001,L2,0.015,20.0
1.270000000000001,L3,0.003,15.0
1.270000000000001,L4,0.003,10.0
1.280000000000001,L1,0.015,15.0
1.280000000000001,L2,0.015,20.0
1.280000000000001,L3,0.003,15.0
